City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,leua,48.2156,18.6071,290.92,96,100,2.94,SK,1690905453
111,kargopol',61.5071,38.9456,295.97,60,1,0.78,RU,1690905454
112,avarua,-21.2078,-159.775,296.18,78,75,3.6,CK,1690905454
113,mumford,5.2618,-0.759,298.07,87,84,5.98,GH,1690905454
114,udachny,66.4167,112.4,287.82,46,12,0.35,RU,1690905455
115,utrik,11.2278,169.8474,300.9,79,63,4.75,MH,1690905412
116,san antonio de pale,-1.4014,5.6325,295.76,77,91,5.71,GQ,1690905400
117,carnarvon,-24.8667,113.6333,293.03,57,41,3.58,AU,1690905455
118,cruzeiro do sul,-29.5128,-51.9853,300.66,62,4,1.23,BR,1690905456
119,vilyuchinsk,52.9306,158.4028,283.3,86,100,1.93,RU,1690905456
120,conceicao do mato dentro,-19.0372,-43.425,299.42,39,1,1.98,BR,1690905456
121,talcahuano,-36.7167,-73.1167,287.97,77,20,0.0,CL,1690905456
122,noosa heads,-26.3833,153.15,290.43,85,5,3.75,AU,1690905457
123,champerico,14.3,-91.9167,304.45,67,88,2.26,GT,1690905457
124,elko,41.0002,-115.5012,297.12,24,100,0.45,US,1690905457
125,gillette,44.2911,-105.5022,297.65,62,0,6.17,US,1690905458
126,tiruchchendur,8.4833,78.1167,302.11,62,100,5.49,IN,1690905458
127,mukalla,14.5425,49.1242,305.8,53,97,5.06,YE,1690905458
128,port alberni,49.2413,-124.8028,293.07,65,90,0.46,CA,1690905459
129,lihue,21.9789,-159.3672,298.92,72,0,6.17,US,1690905384
130,revda,56.801,59.9303,289.95,93,39,1.27,RU,1690905459
131,puerto deseado,-47.7503,-65.8938,282.79,37,41,18.42,AR,1690905460
132,iqaluit,63.7506,-68.5145,282.0,81,40,2.57,CA,1690905357
133,acarau,-2.8856,-40.12,304.91,50,4,6.61,BR,1690905460
134,saint-felicien,48.6501,-72.4491,289.43,63,75,4.12,CA,1690905460
135,northam,51.0333,-4.2167,291.29,79,99,5.74,GB,1690905397
136,ust-nera,64.5667,143.2,281.1,91,82,2.2,RU,1690905461
137,bahia blanca,-38.7196,-62.2724,294.72,28,0,3.13,AR,1690905459
138,banda aceh,5.5577,95.3222,300.48,71,100,6.04,ID,1690905462
139,codrington,-38.2667,141.9667,284.33,72,100,2.03,AU,1690905462
140,qamdo,31.1667,97.2333,281.1,87,100,1.96,CN,1690905462
141,santa cecilia,-26.9608,-50.4269,294.79,46,7,1.37,BR,1690905462
142,san patricio,28.017,-97.5169,307.63,47,0,2.92,US,1690905463
143,papao,-17.75,-149.55,294.97,73,69,8.69,PF,1690905371
144,ola,59.5833,151.2833,285.34,79,64,3.17,RU,1690905463
145,yeniseysk,58.4497,92.1703,290.55,94,1,0.53,RU,1690905464
